[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | SQL: SELECT * FROM `myerpview_system_department` WHERE ( `type` LIKE '联合体' )  [ RunTime:0.000346s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | INFO: Tag[ view_template ] --START--
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | INFO: Run LocationTemplate Behavior [ RunTime:0.000346s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | INFO: Tag[ view_template ] --END-- [ RunTime:-0.036562s ]
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | INFO: Tag[ view_parse ] --START--
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: status 792ed7691cbd813ca6fcf9f9da4fee3e.php 第 8 行.
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: status 792ed7691cbd813ca6fcf9f9da4fee3e.php 第 8 行.
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: status 792ed7691cbd813ca6fcf9f9da4fee3e.php 第 9 行.
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: status 792ed7691cbd813ca6fcf9f9da4fee3e.php 第 10 行.
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: status 792ed7691cbd813ca6fcf9f9da4fee3e.php 第 12 行.
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: status 792ed7691cbd813ca6fcf9f9da4fee3e.php 第 12 行.
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: status 792ed7691cbd813ca6fcf9f9da4fee3e.php 第 39 行.
[ 2012-08-23T15:49:44+08:00 ] /Index.php?s=/Chanpin | NOTIC: [8] Undefined variable: status 792ed7691cbd813ca6fcf9f9da4fee3e.php 第 67 行.
